RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
85.,calado,"(1) ADRS-P-A,AUHR-R-A,ERNT-R-A,LEDO-R-A",03.01. 12:22,5.59%,"-0,79%","4,08%",portfelj bez Adrisa nije portfelj
86.,rmaric,"(10) ADPL-R-A,ADRS-P-A,KOEI-R-A,LEDO-R-A,LPLH-R-A,RIVP-R-A",07.01. 09:30,5.52%,"-0,83%","5,21%",
87.,Thirdeye,"(1) ADPL-R-A,DDJH-R-A,MAIS-R-A",05.01. 09:35,5.52%,"5,52%","4,33%",
88.,Hrx84,"(6) ADRS-P-A,BETA-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,HT-R-A,LKPC-R-A,SNHA-R-A",07.01. 19:38,5.49%,"0,97%","5,18%",
89.,pero82,"(2) ADPL-R-A,DDJH-R-A,DLKV-R-A,HT-R-A,MAIS-R-A,RIVP-R-A",22.01. 12:38,4.91%,"4,43%","5,29%",Odlučno sad ili nikad izjavljujem: možda da ili možda ipak ne
90.,ja,"(0) ADPL-R-A,ADRS-R-A,ATPL-R-A,BLJE-R-A,MAIS-R-A,PLAG-R-A",25.01. 15:12,4.79%,"2,60%","5,27%",
91.,propalica,"(2) ADRS-P-A,ADRS-R-A,ATGR-R-A,HIMR-R-A,HMST-R-A,JDGT-R-A,LRHC-R-A",06.01. 13:39,4.75%,"1,09%","3,57%",
92.,vedrinho,"(1) ATGR-R-A,HIMR-R-A,HMST-R-A,PLAG-R-A,ZABA-R-A",14.01. 19:55,4.59%,"2,42%","4,99%",
93.,Batman266,"(0) DLKV-R-A,LRHC-R-A,LRH-R-A,TUHO-R-A",24.01. 23:37,4.31%,"3,99%","4,78%",
94.,urar,"(0) ADRS-P-A,ATGR-R-A,ERNT-R-A,HT-R-A,PODR-R-A,RIVP-R-A",25.01. 11:40,4.30%,"-0,66%","4,77%",Početnik
95.,Stationary,"(0) ADRS-P-A,ATGR-R-A,HMST-R-A,RIVP-R-A",25.01. 16:14,4.24%,"-0,35%","4,72%",
96.,pcelica,"(7) ADRS-P-A,ADRS-R-A,ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,RIVP-R-A,RIZO-R-A,SNHA-R-A",31.12. 11:00,4.18%,"3,75%","1,57%",
97.,pjerkovic,"(1) ADRS-P-A,BLJE-R-A,ZABA-R-A",01.01. 18:06,4.05%,"-4,18%","1,44%",
98.,Lakocemo,"(0) ADPL-R-A,BLJE-R-A,RIVP-R-A,ZABA-R-A",03.01. 18:07,3.98%,"0,64%","2,47%",
99.,dtren,"(0) ADRS-R-A,ATPL-R-A,HIMR-R-A,LPLH-R-A,RIVP-R-A",23.01. 11:01,3.74%,"0,46%","4,22%",
100.,dh07,"(0) ARNT-R-A,AUHR-R-A,RIVP-R-A",23.01. 10:44,3.72%,"1,65%","4,19%",
101.,duspica,"(0) ADPL-R-A,ADRS-P-A,ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A",07.01. 12:23,3.67%,"0,09%","3,36%",
102.,mariobegic,"(0) ADRS-R-A,ATGR-R-A,BLJE-R-A,HIMR-R-A",07.01. 10:58,3.57%,"-0,13%","3,26%",
103.,lepi,"(0) BCIN-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",12.01. 08:45,3.50%,"2,10%","3,84%",
104.,ticino,"(3) BETA-R-A,DELT-R-A,GAMA-R-A,HMST-R-A,HT-R-A,SNHA-R-A",01.01. 18:09,3.44%,"1,60%","0,83%",
105.,tinkica,"(2) AUHR-R-A,BLJE-R-A,DDJH-R-A",31.12. 13:47,3.40%,"2,44%","0,79%",
106.,igoru,"(3) JDGT-R-A,LULG-R-A,PCTS-R-A,RIZO-R-A,SAPN-R-A",16.01. 19:47,3.36%,"3,36%","4,50%",
107.,drazigor,"(0) ADPL-R-A,ADRS-P-A,ARNT-R-A,BLJE-R-A,RIVP-R-A",23.01. 10:06,3.29%,"-0,13%","3,77%",
108.,sadas,"(0) ADPL-R-A,ADRS-P-A,ATGR-R-A,HT-R-A",19.01. 17:33,3.27%,"-1,75%","4,61%",
109.,privateer,"(1) ADRS-P-A,BDSS-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,KOEI-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A",09.01. 13:45,2.83%,"-1,26%","2,74%",
110.,weishaupt,"(8) ADRS-P-A,ADRS-R-A,ATGR-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,JNAF-R-A,LULG-R-A,PCTS-R-A,PLAG-R-A,SNHA-R-A",07.01. 23:35,2.51%,"-5,61%","2,20%",
111.,didi,"(2) ATPL-R-A,BCIN-R-A,BETA-R-A,BLJE-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A",22.01. 21:29,2.50%,"2,13%","2,88%",zgodna kombinacija
112.,FFS,"(0) ADRS-P-A,ATGR-R-A,KOEI-R-A,PLAG-R-A,RIVP-R-A,VART-R-1",04.01. 16:22,2.31%,"-1,14%","0,80%",
113.,lepi 2,"(0) BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,LRHC-R-A,LRH-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A",19.01. 11:50,2.27%,"2,27%","3,61%",
114.,DonVito,"(0) DDJH-R-A,KOEI-R-A,TNPL-R-A,VART-R-1",24.01. 19:03,2.20%,"-0,29%","2,67%",
115.,gbic,"(0) DDJH-R-A,RIVP-R-A,ZABA-R-A",23.01. 18:48,2.16%,"-2,36%","2,63%",
116.,vlenac,"(0) ADRS-P-A,DDJH-R-A,RIVP-R-A",23.01. 08:45,1.96%,"-3,74%","2,44%",
117.,Cicija,"(1) AUHR-R-A,LRHC-R-A,LRH-R-A,TUHO-R-A",01.01. 20:24,1.89%,"0,46%","-0,73%",
118.,Ludi Milojko,"(0) ADRS-P-A,ARNT-R-A,ATGR-R-A,INA-R-A,LEDO-R-A,PODR-R-A",24.01. 12:29,1.75%,"-1,36%","2,23%",
119.,masterpiece,"(0) ADRS-R-A,BLJE-R-A,INA-R-A",23.01. 11:47,1.75%,"-2,77%","2,22%",
120.,ivanoreskovic,"(1) ADRS-P-A,ATPL-R-A,BETA-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,INGR-R-A,SNHA-R-A,ZVZD-R-A",23.01. 09:30,1.70%,"-1,15%","2,18%",dug je put do kraja godine:)
121.,dadoni24,"(3) ADRS-P-A,AUHR-R-A,LKPC-R-A",15.01. 18:09,1.68%,"-5,07%","2,41%",
122.,matko,"(1) KODT-P-A,LKPC-R-A,RIVP-R-A",21.01. 09:58,1.40%,"-0,69%","2,34%",
123.,Corto,"(0) ARNT-R-A,HMST-R-A,RIVP-R-A",24.01. 08:51,1.37%,"0,45%","1,84%",
124.,pikibu,"(0) ADPL-R-A,ERNT-R-A,HT-R-A,LEDO-R-A",25.01. 15:34,1.36%,"-2,13%","1,83%",nikad se ne zna
125.,mfan,"(1) ATGR-R-A,DDJH-R-A,MAIS-R-A,RIVP-R-A,ZABA-R-A",22.01. 21:35,1.30%,"-1,22%","1,68%",
126.,stari_lisac,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A",07.01. 18:00,1.24%,"0,31%","0,93%",
127.,Turki,"(1) BCIN-R-A,DLKV-R-A,KOEI-R-A,ZABA-R-A",25.01. 18:39,1.12%,"-1,57%","1,59%",
128.,Tanjušak,"(0) ARNT-R-A,ERNT-R-A,LPLH-R-A,RIVP-R-A",24.01. 09:37,0.89%,"-1,52%","1,37%",
129.,zeleniandre,"(0) ADPL-R-A,BLJE-R-A,RIVP-R-A",25.01. 16:19,0.62%,"-0,30%","1,09%",
130.,Misel,"(1) ADRS-R-A,MAIS-R-A,PLAG-R-A,RIVP-R-A",05.01. 16:17,0.53%,"-0,19%","-0,65%",
131.,Cookie,"(0) ADRS-P-A,AUHR-R-A,BCIN-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",20.01. 20:00,0.49%,"-3,18%","2,12%",2. mačić
132.,ingenjer,"(0) ATPL-R-A,BLJE-R-A,PODR-R-A,RIVP-R-A,THNK-R-A,TNPL-R-A",20.01. 20:56,0.43%,"-1,49%","2,06%",
133.,CroBlueChips,"(1) ATPL-R-A,LULG-R-A,PCTS-R-A,TNPL-R-A,ULPL-R-A",07.01. 10:24,0.11%,"-2,04%","-0,20%",
134.,marne,"(2) ADPL-R-A,KOEI-R-A,RIVP-R-A",06.01. 22:22,-0.01%,"-1,00%","-1,19%",
135.,edukacija,"(1) ADRS-P-A,ADRS-R-A,OPTE-R-A",24.01. 12:45,-0.18%,"-7,10%","0,29%",
136.,gordogan,"(2) ARNT-R-A,DLKV-R-A,RIZO-R-A",30.12. 09:48,-0.28%,"-0,28%","-2,50%",
137.,cako,"(2) DDJH-R-A,DLKV-R-A,IMZV-R-A,RIZO-R-A,VART-R-1",22.01. 10:16,-0.49%,"-0,49%","-0,11%",
138.,zeljkom,"(0) DDJH-R-A,MAIS-R-A,TUHO-R-A",25.01. 17:38,-0.55%,"-0,87%","-0,08%","sve najbolje, bez tiska"
139.,Overlord666,"(0) ADPL-R-A,BLJE-R-A,ERNT-R-A,HT-R-A,RIVP-R-A,ZABA-R-A",07.01. 20:51,-0.62%,"-4,70%","-0,93%",
140.,turist,"(0) ARNT-R-A,PLAG-R-A,TUHO-R-A",23.01. 20:55,-1.24%,"-1,56%","-0,77%",turizam jedino ide
141.,boris38,"(0) DLKV-R-A,LEDO-R-A,ZVZD-R-A",25.01. 15:58,-1.29%,"-2,17%","-0,82%",
142.,potrka,"(0) ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,HIMR-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",19.01. 19:22,-1.54%,"-2,18%","-0,20%",
143.,Ivoo,"(0) ADRS-R-A,ERNT-R-A,JDPL-R-A,LEDO-R-A,PODR-R-A",24.01. 16:27,-1.56%,"-6,10%","-1,08%",
144.,ribaa,"(4) ADRS-P-A,BETA-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIZO-R-A,SNHA-R-A,VERN-R-A",01.01. 13:44,-1.81%,"-3,87%","-4,42%",
145.,skosi,"(1) ERNT-R-A,HT-R-A,INA-R-A,LRHC-R-A,LRH-R-A,PLAG-R-A,ZVZD-R-A",23.01. 19:10,-2.05%,"-4,01%","-1,58%",
146.,galea2007,"(0) ARNT-R-A,ATGR-R-A,ERNT-R-A,HT-R-A,LEDO-R-A,PLAG-R-A",25.01. 15:55,-2.18%,"-4,72%","-1,71%",
147.,zgtd,"(3) ARNT-R-A,DDJH-R-A,DLKV-R-A,PODR-R-A,RIVP-R-A,VPIK-R-A",07.01. 14:09,-2.34%,"-3,13%","-2,65%",
148.,droksandic,"(0) ADRS-P-A,ARNT-R-A,VART-R-1",21.01. 08:40,-2.52%,"-7,33%","-1,58%",
149.,adiosnoia,"(1) AUHR-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,JDGT-R-A,RIZO-R-A,SNHA-R-A",09.01. 19:45,-2.58%,"-4,97%","-2,68%",
150.,imperator,"(0) DDJH-R-A,DLKV-R-A,LEDO-R-A,RIVP-R-A,VART-R-1,ZABA-R-A",25.01. 16:18,-2.73%,"-5,42%","-2,26%",
151.,STRAS,"(0) ARNT-R-A,DDJH-R-A,DLKV-R-A,MAIS-R-A,RIVP-R-A,VART-R-1",16.01. 19:52,-2.98%,"-3,43%","-1,84%",
152.,pitommacak,"(0) ADRS-P-A,ERNT-R-A,RIVP-R-A,VPIK-R-A",13.01. 10:34,-3.13%,"-9,11%","-2,16%",
153.,tommy,"(1) ADRS-P-A,ATLN-R-A,ATPL-R-A,PODR-R-A",07.01. 22:53,-3.34%,"-7,60%","-3,65%",
154.,nalet,"(0) HMST-R-A,RIVP-R-A,VART-R-1",30.12. 18:38,-3.36%,"-4,29%","-5,58%",
155.,ivanja,"(2) ATPL-R-A,BLJE-R-A,DLKV-R-A,LKRI-R-A,RIVP-R-A,VIRO-R-A",23.01. 23:02,-3.54%,"-5,06%","-3,06%",
156.,Ivana_Os,"(1) ADRS-R-A,DDJH-R-A,ERNT-R-A,INGR-R-A,ZVZD-R-A",24.01. 22:17,-3.60%,"-7,48%","-3,13%",
157.,sinlovcanamedvjede,"(0) BETA-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",24.01. 19:08,-3.77%,"-4,46%","-3,30%",
158.,Zorba,"(0) ARNT-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",20.01. 14:36,-3.89%,"-4,57%","-2,26%",
159.,srebrnifilharmonik,"(0) ADRS-P-A,ARNT-R-A,DDJH-R-A,HT-R-A,INA-R-A,RIVP-R-A",25.01. 18:08,-3.97%,"-7,62%","-3,49%",
160.,jumbo,"(2) ERNT-R-A,KODT-P-A,LKPC-R-A",21.01. 17:04,-4.01%,"-6,15%","-3,08%",
161.,mirjana jg,"(0) ADRS-P-A,DDJH-R-A,DLKV-R-A,RIVP-R-A,VART-R-1,VPIK-R-A",07.01. 20:13,-4.08%,"-6,93%","-4,39%",
162.,iborscak,"(0) ATGR-R-A,DDJH-R-A,DLKV-R-A,RIVP-R-A",09.01. 14:25,-4.11%,"-5,11%","-4,21%",
163.,barisa,"(0) BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,HT-R-A,LPLH-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",23.01. 17:18,-4.24%,"-5,67%","-3,76%",
164.,gcekol,"(0) DDJH-R-A,DLKV-R-A,INGR-R-A,RIVP-R-A",23.01. 09:18,-4.35%,"-5,04%","-3,88%",
165.,ivan_777,"(2) ADRS-P-A,DLKV-R-A,INGR-R-A,RIVP-R-A",17.01. 14:25,-4.41%,"-9,19%","-3,27%",
166.,metropolis,"(0) ARNT-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",02.01. 20:15,-4.52%,"-5,07%","-6,02%",Viribus Unitis
167.,Sinisa99,"(0) DDJH-R-A,LPLH-R-A,RIVP-R-A",24.01. 16:37,-4.66%,"-5,57%","-4,18%",
168.,senf,"(4) ATGR-R-A,ATPL-R-A,RIZO-R-A",02.01. 08:52,-4.80%,"-6,30%","-6,31%",
169.,fthree,"(0) DDJH-R-A,RIVP-R-A,VART-R-1",07.01. 15:09,-4.80%,"-5,73%","-5,11%",
170.,goran91415,"(0) ARNT-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",24.01. 15:37,-4.91%,"-5,60%","-4,44%",
171.,darac11,"(0) ADPL-R-A,ADRS-P-A,ATGR-R-A,ATPL-R-A,ERNT-R-A,RIVP-R-A",02.01. 11:17,-4.93%,"-9,24%","-6,44%","idem isto samo bez HT-a. mislio sam ubacit KODT ali nemogu, pa sam ubacio ATPL."
172.,zg123,"(0) ADRS-P-A,ARNT-R-A,ATPL-R-A,PODR-R-A",04.01. 18:18,-5.00%,"-8,73%","-6,51%",
173.,robilad,"(0) BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",30.12. 22:13,-5.09%,"-5,78%","-7,30%",Najavljena privatizacija će osloboditi vrijednosti više dionica od države sa burze
174.,OM Portfolio,"(1) ADRS-P-A,ARNT-R-A,DLKV-R-A,ERNT-R-A,ULPL-R-A",23.01. 23:49,-5.16%,"-9,17%","-4,68%",
175.,ds12,"(1) ATPL-R-A,PODR-R-A,RIVP-R-A",30.12. 17:39,-5.30%,"-6,24%","-7,52%",
176.,jere679888,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A,VART-R-1",07.01. 15:09,-5.49%,"-6,19%","-5,80%",
177.,Rubens,"(0) ADPL-R-A,ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1,VPIK-R-A",31.12. 11:13,-5.50%,"-5,96%","-8,11%",
178.,belje lm,"(0) BLJE-R-A,DLKV-R-A,RIVP-R-A",21.01. 17:27,-5.64%,"-6,56%","-4,71%",
179.,keko,"(0) ARNT-R-A,PODR-R-A,RIVP-R-A,VART-R-1,VPIK-R-A",02.01. 13:28,-5.72%,"-6,28%","-7,23%",
180.,funny,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A",24.01. 12:48,-5.93%,"-6,84%","-5,45%",
181.,mjatdionice,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A",24.01. 13:03,-5.93%,"-6,84%","-5,45%",
182.,robin987,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A",25.01. 20:39,-5.93%,"-6,84%","-5,45%",
183.,ivo099,"(1) ADPL-R-A,DLKV-R-A,HMST-R-A,IMZV-R-A,INA-R-A",25.01. 18:43,-6.17%,"-6,25%","-5,70%",
184.,ZvoneDS,"(0) ADPL-R-A,BLJE-R-A,ERNT-R-A,HT-R-A,INGR-R-A",25.01. 23:08,-6.35%,"-8,61%","-5,88%",
185.,sonjci,"(1) ADPL-R-A,ARNT-R-A,DDJH-R-A,RIVP-R-A,RIZO-R-A,VART-R-1",20.01. 11:57,-6.37%,"-6,81%","-4,74%",
186.,pipod,"(0) ADRS-R-A,BETA-R-A,BLJE-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,JDPL-R-A,LULG-R-A,MAIS-R-A,PCTS-R-A,SNHA-R-A",22.01. 14:19,-6.54%,"-8,76%","-6,16%",
187.,barni35zg,"(0) ADPL-R-A,ATPL-R-A,ERNT-R-A,LEDO-R-A,PODR-R-A",25.01. 22:41,-6.60%,"-8,51%","-6,13%",
188.,cjkaucic,"(0) ARNT-R-A,AUHR-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,HMST-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",24.01. 12:19,-6.63%,"-7,66%","-6,16%",Zdrav ko mamic
189.,Filozof,"(0) ARNT-R-A,DDJH-R-A,DLKV-R-A,HT-R-A,KOEI-R-A,RIVP-R-A",25.01. 15:46,-6.89%,"-8,36%","-6,42%",
190.,Bogey,"(0) DDJH-R-A,DLKV-R-A,IMZV-R-A,INGR-R-A",21.01. 15:25,-7.02%,"-7,02%","-6,08%",
191.,grunf,"(0) ATPL-R-A,BLJE-R-A,JNAF-R-A,RIVP-R-A",06.01. 14:10,-7.55%,"-8,66%","-8,73%",
192.,zm1,"(0) ARNT-R-A,DDJH-R-A,DLKV-R-A,RIVP-R-A,VART-R-1",10.01. 20:08,-7.59%,"-8,13%","-7,68%",
193.,markolis,"(0) ADPL-R-A,BLJE-R-A,DDJH-R-A,DLKV-R-A,LPLH-R-A,RIVP-R-A",25.01. 11:46,-7.64%,"-8,10%","-7,17%",
194.,Noki,"(1) ATPL-R-A,DLKV-R-A,LKRI-R-A,MAIS-R-A,RIVP-R-A,VART-R-1",25.01. 18:45,-7.73%,"-8,19%","-7,26%",
195.,bob1391,"(2) LKRI-R-A,RIVP-R-A,VERN-R-A",19.01. 12:24,-7.74%,"-8,92%","-6,39%",
196.,Tomo2111,"(0) ADPL-R-A,ATPL-R-A,RIVP-R-A",25.01. 15:28,-7.97%,"-8,89%","-7,50%",
197.,TARGA777,"(0) BLJE-R-A,DDJH-R-A,DLKV-R-A,HT-R-A,INGR-R-A,RIVP-R-A",22.01. 11:19,-7.97%,"-9,16%","-7,59%",
198.,skeco23,"(1) AUHR-R-A,DLKV-R-A,VART-R-1",23.01. 23:28,-7.99%,"-9,11%","-7,52%",
199.,kama3,"(0) BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,HIMR-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",24.01. 14:36,-8.23%,"-8,88%","-7,76%",
200.,jurko,"(0) DDJH-R-A,DLKV-R-A,RIVP-R-A",23.01. 12:13,-8.25%,"-9,17%","-7,78%",
201.,Nevals,"(0) DDJH-R-A,RIVP-R-A,VART-R-1",01.01. 12:09,-8.28%,"-9,21%","-10,90%",
202.,kutuzov,"(1) ADPL-R-A,ARNT-R-A,ATPL-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,RIVP-R-A,SNHA-R-A",04.01. 19:22,-8.33%,"-8,95%","-9,84%",Exporters
203.,mijuska,"(0) BLJE-R-A,ERNT-R-A,HUPZ-R-A,INA-R-A,LEDO-R-A,ZVZD-R-A",25.01. 15:59,-8.49%,"-10,29%","-8,02%",
204.,mmladen,"(0) BLJE-R-A,DDJH-R-A,PODR-R-A,RIVP-R-A,TUHO-R-A",22.01. 09:28,-8.55%,"-9,29%","-8,17%",
205.,zoran111,"(0) ARNT-R-A,BETA-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A,VART-R-1",20.01. 14:12,-8.82%,"-8,82%","-7,19%",
206.,MRKIII,"(0) ADPL-R-A,ATGR-R-A,ATPL-R-A,IMZV-R-A,PODR-R-A",21.01. 21:09,-9.02%,"-9,27%","-8,08%",
207.,bobil,"(1) DDJH-R-A,HMST-R-A,RIVP-R-A",23.01. 12:33,-9.10%,"-9,91%","-8,62%",
208.,dolar,"(0) ARNT-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,DLKV-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,VART-R-1",23.01. 08:58,-9.18%,"-9,64%","-8,71%",
209.,nala,"(1) ERNT-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",25.01. 20:45,-9.30%,"-9,86%","-8,83%",
210.,sevac,"(0) ARNT-R-A,DDJH-R-A,DLKV-R-A,PODR-R-A",23.01. 10:39,-9.39%,"-9,39%","-8,92%",
211.,poje,"(0) DDJH-R-A,DLKV-R-A,INGR-R-A",21.01. 06:36,-9.55%,"-9,55%","-8,61%",
212.,lacroma,"(0) DDJH-R-A,ERNT-R-A,KOEI-R-A,LPLH-R-A,RIVP-R-A,VART-R-1",23.01. 23:04,-9.67%,"-11,56%","-9,20%",
213.,Zike,"(0) ADRS-R-A,ATPL-R-A,BLJE-R-A,ERNT-R-A,HT-R-A,KOEI-R-A",25.01. 21:55,-9.69%,"-14,04%","-9,21%",
214.,Justicio,"(0) ADPL-R-A,BLJE-R-A,KOEI-R-A",20.01. 15:48,-9.86%,"-10,42%","-8,23%",
215.,croftica2014,"(2) ADRS-R-A,DDJH-R-A,DLKV-R-A,IMZV-R-A,RIVP-R-A,VPIK-R-A",21.01. 14:56,-10.23%,"-12,61%","-9,29%",
216.,mravak,"(0) ADRS-R-A,DLKV-R-A,HT-R-A,IMZV-R-A,INA-R-A,JDPL-R-A",20.01. 11:50,-10.30%,"-13,27%","-8,67%",
217.,veho_sb,"(0) DDJH-R-A,RIVP-R-A,VPIK-R-A",03.01. 23:18,-10.39%,"-11,32%","-11,90%",
218.,huzun,"(0) AUHR-R-A,LPLH-R-A,VART-R-1",24.01. 19:26,-10.39%,"-11,55%","-9,92%",
219.,vbresan,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A,VART-R-1",23.01. 21:54,-10.43%,"-11,11%","-9,95%",
220.,ajzakn,"(0) ADRS-P-A,BLJE-R-A,DLKV-R-A,OPTE-R-A,RIVP-R-A,VART-R-1",22.01. 10:19,-10.87%,"-13,71%","-10,48%",
221.,vuky91,"(0) ADRS-P-A,ERNT-R-A,JDPL-R-A,KOEI-R-A,RIVP-R-A",24.01. 17:38,-11.34%,"-16,48%","-10,87%",
222.,Kvasac,"(1) ARNT-R-A,DDJH-R-A,IMZV-R-A,LRHC-R-A,LRH-R-A,VART-R-1,VPIK-R-A",01.01. 10:19,-11.61%,"-11,61%","-14,22%",
223.,trebor,"(0) BLJE-R-A,RIVP-R-A,VART-R-1",01.01. 16:34,-11.70%,"-12,62%","-14,31%",
224.,iv442,"(0) BETA-R-A,DELT-R-A,GAMA-R-A,IMZV-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A,VART-R-1",23.01. 09:38,-11.77%,"-11,77%","-11,30%",
225.,Mjosic,"(0) BLJE-R-A,DDJH-R-A,DLKV-R-A,RIVP-R-A,VART-R-1,VPIK-R-A",07.01. 22:29,-11.92%,"-12,38%","-12,22%","Lud, zbunjen, normalan"
